x,y
2737.1,1710.0
3297.2,1712.6
2705.2,1716.7
2741.0,1718.0
3141.9,1720.9
2935.8,1722.5
2708.5,1724.3
1733.2,1730.8
2712.8,1732.0
1593.3,1734.0
2905.2,1738.8
2627.5,1744.5
1785.3,1748.0
2632.1,1752.8
3315.3,1758.3
3356.7,1760.5
2221.3,1761.0
2634.8,1761.3
3307.9,1762.6
3075.1,1776.3
1622.0,1779.8
1762.4,1780.4
3017.8,1782.8
2241.0,1793.7
1496.8,1794.1
3373.6,1806.6
2984.3,1812.1
1465.0,1817.5
2065.1,1817.6
2056.4,1821.3
2048.1,1824.1
2468.3,1825.4
2039.6999999999998,1828.0
3203.7,1829.8
3337.5,1815.94
3329.5,1817.94
1985.2,1830.4
1587.0,1830.5
2514.0,1831.0
2471.7,1834.0
2926.9,1838.2
2476.0,1840.0
2960.7,1842.7
2968.0,1854.0
1849.0,1851.2
2451.4,1861.9
2693.1,1855.0
3131.8,1861.8
2696.3,1862.3
2408.5,1864.2
1773.8,1864.7
2075.1,1864.7
2066.4,1866.7
1955.6,1867.8
2700.4,1868.0
3069.9,1870.4
1779.7,1871.7
2059.6,1871.9
2410.7,1872.4
3062.0,1874.4
2663.7,1875.4
3054.3,1877.4
3140.5,1894.97
3123.14,1867.0
1696.8,1881.0
1913.3,1881.4
2376.5,1888.2
1690.9,1890.0
2633.5,1890.2
1917.3,1890.6
2285.9,1892.4
2081.6,1897.9
2603.2,1900.1
2073.5,1902.1
1968.2,1909.2
1973.0,1917.0
2577.0,1918.1
1939.9,1928.4
2086.1,1929.3
1339.6,1935.6
1945.4,1936.8
3165.6,1939.0
2501.2,1942.3
2470.0,1943.2
1950.3,1944.4
1912.6,1945.3
1664.4,1945.5
1745.8,1888.0
2560.9,1945.8
2473.3,1951.7
2755.7,1954.2
2981.5,1954.6
2444.3,1955.4
2100.2,1958.3
2476.9,1960.9
2448.2,1963.7
3315.2,1966.2
1815.9,1968.5
1475.6,1968.6
2415.1,1969.2
2481.9,1970.1
3730.1,1971.0
2451.8,1972.4
3177.7,1973.2
2136.3,1977.5
2419.4,1977.9
2768.6,1979.6
3616.2,1980.0
2761.2,1982.0
2125.4,1982.6
2754.8,1984.5
2999.0,1986.3
1885.4,1986.5
2424.4,1986.7
2114.2,1988.0
2375.7,1988.7
1872.9,1994.1
2186.1,1994.3
2427.5,1996.3
2380.8,1997.1
3045.8,1998.3
3037.8,2003.5
2780.1,2004.9
2433.3,2005.4
2385.6,2005.5
2055.7,2006.2
2015.4,1920.4
2008.0,1926.2
2338.9,2006.3
3208.7,2008.2
3030.4,2008.5
1900.5,2011.8
3022.8,2012.2
3199.5,2013.4
2437.0,2014.6
2388.9,2015.9
3015.0,2016.0
1801.3,2017.0
2538.5,2019.9
2441.1,2023.3
2530.2,2025.1
3611.6,2027.6
3613.84,2031.5
2521.2,2029.2
3543.0,2029.3
2446.1,2032.9
2512.1,2033.0
